game_id,team_id,sub_count,avg_sub,total_shots_secondHalf,total_sub_time,shots_before_avgSub,shots_after_avgSub,spm_before,spm_after,spm_diff
1834453,42,5,76.2,5.0,69,4.0,1.0,0.1282051282051282,0.07246376811594205,-0.05574136008918615
1834453,4852,5,51.4,13.0,193,4.0,9.0,0.6250000000000001,0.23316062176165803,-0.3918393782383421
1834454,37,5,65.2,6.0,124,4.0,2.0,0.198019801980198,0.08064516129032259,-0.11737464068987541
1834454,4852,5,63.0,2.0,135,0.0,2.0,0.0,0.07407407407407407,0.07407407407407407
1834455,45,4,80.75,6.0,37,5.0,1.0,0.13986013986013987,0.10810810810810811,-0.031752031752031756
1834455,50,4,73.0,4.0,68,2.0,2.0,0.07142857142857142,0.11764705882352941,0.046218487394957986
1834456,42,4,72.25,9.0,71,3.0,6.0,0.11009174311926606,0.3380281690140845,0.22793642589481844
1834456,109,5,76.0,5.0,70,3.0,2.0,0.0967741935483871,0.14285714285714285,0.046082949308755755
1834457,796,5,69.2,4.0,104,2.0,2.0,0.08264462809917354,0.09615384615384617,0.013509218054672631
1834457,1730,5,68.8,11.0,106,5.0,6.0,0.2100840336134454,0.28301886792452824,0.07293483431108283
1834458,50,5,78.0,3.0,60,3.0,0.0,0.09090909090909091,0.0,-0.09090909090909091
1834458,1211,5,62.4,10.0,138,1.0,9.0,0.0574712643678161,0.32608695652173914,0.26861569215392306
1834459,36,4,50.0,5.0,160,1.0,4.0,0.2,0.1,-0.1
1834459,219,5,85.8,9.0,24,7.0,2.0,0.1715686274509804,0.4761904761904759,0.3046218487394955
1834460,45,3,48.333333333333336,8.0,125,0.0,8.0,0.0,0.192,0.192
