season,season_label,game_id,team,home_away,avg_age,goals,shots,goals_per_shot
2425,2024/2025,711545,VfB Stuttgart,home,24.942505133470227,3,7,0.42857142857142855
2425,2024/2025,711546,VfL Bochum,home,27.461173301538935,0,12,0.0
2425,2024/2025,711546,Werder Bremen,away,26.069900752908968,1,9,0.1111111111111111
2425,2024/2025,711547,Borussia Dortmund,away,25.172347707049965,1,16,0.0625
2425,2024/2025,711547,Borussia Mönchengladbach,home,25.844650569992208,1,9,0.1111111111111111
2425,2024/2025,711548,Mainz,away,27.409015351520484,3,12,0.25
2425,2024/2025,711548,VfL Wolfsburg,home,25.167576024249534,4,10,0.4
2425,2024/2025,711549,1. FC Heidenheim 1846,home,27.525124501404328,1,9,0.1111111111111111
2425,2024/2025,711549,VfB Stuttgart,away,24.942505133470227,3,18,0.16666666666666666
2425,2024/2025,711550,Bayern Munich,away,25.752305028787696,1,13,0.07692307692307693
2425,2024/2025,711550,Mainz,home,27.409015351520484,2,8,0.25
2425,2024/2025,711551,Borussia Dortmund,home,25.172347707049965,1,6,0.16666666666666666
2425,2024/2025,711551,TSG Hoffenheim,away,25.51605227991265,1,12,0.08333333333333333
2425,2024/2025,711552,Borussia Mönchengladbach,home,25.844650569992208,4,17,0.23529411764705882
2425,2024/2025,711552,Holstein Kiel,away,26.528991884228024,1,12,0.08333333333333333
2425,2024/2025,711553,Bayer Leverkusen,away,25.419178203175026,2,14,0.14285714285714285
2425,2024/2025,711553,FC Augsburg,home,26.066674719168983,0,8,0.0
2425,2024/2025,711554,St. Pauli,home,26.03293473446874,0,15,0.0
2425,2024/2025,711554,Werder Bremen,away,26.069900752908968,2,8,0.25
2425,2024/2025,711555,Eintracht Frankfurt,away,25.047501711156745,1,16,0.0625
2425,2024/2025,711555,RB Leipzig,home,24.251334702258728,2,19,0.10526315789473684
2425,2024/2025,711556,1. FC Union Berlin,home,27.86028129208894,0,22,0.0
2425,2024/2025,711556,VfL Bochum,away,27.461173301538935,2,13,0.15384615384615385
2425,2024/2025,711557,SC Freiburg,home,26.786376832117824,3,18,0.16666666666666666
2425,2024/2025,711557,VfL Wolfsburg,away,25.167576024249534,2,20,0.1
2425,2024/2025,711558,Bayer Leverkusen,home,25.419178203175026,5,20,0.25
2425,2024/2025,711558,SC Freiburg,away,26.786376832117824,1,8,0.125
2425,2024/2025,711559,Borussia Dortmund,away,25.172347707049965,3,12,0.25
2425,2024/2025,711559,VfL Wolfsburg,home,25.167576024249534,1,14,0.07142857142857142
2425,2024/2025,711560,1. FC Heidenheim 1846,away,27.525124501404328,0,10,0.0
2425,2024/2025,711560,VfL Bochum,home,27.461173301538935,2,14,0.14285714285714285
2425,2024/2025,711561,St. Pauli,away,26.03293473446874,1,11,0.09090909090909091
2425,2024/2025,711561,VfB Stuttgart,home,24.942505133470227,0,25,0.0
2425,2024/2025,711562,Borussia Mönchengladbach,away,25.844650569992208,2,5,0.4
2425,2024/2025,711562,TSG Hoffenheim,home,25.51605227991265,1,18,0.05555555555555555
2425,2024/2025,711563,1. FC Union Berlin,away,27.86028129208894,1,16,0.0625
2425,2024/2025,711563,Werder Bremen,home,26.069900752908968,4,10,0.4
2425,2024/2025,711564,Eintracht Frankfurt,home,25.047501711156745,1,34,0.029411764705882353
2425,2024/2025,711564,Mainz,away,27.409015351520484,3,9,0.3333333333333333
2425,2024/2025,711565,Bayern Munich,home,25.752305028787696,5,22,0.22727272727272727
2425,2024/2025,711565,RB Leipzig,away,24.251334702258728,1,4,0.25
2425,2024/2025,711566,FC Augsburg,away,26.066674719168983,1,17,0.058823529411764705
2425,2024/2025,711566,Holstein Kiel,home,26.528991884228024,5,8,0.625
2425,2024/2025,711567,Holstein Kiel,away,26.528991884228024,2,14,0.14285714285714285
2425,2024/2025,711567,SC Freiburg,home,26.786376832117824,3,14,0.21428571428571427
2425,2024/2025,711568,RB Leipzig,home,24.251334702258728,4,18,0.2222222222222222
2425,2024/2025,711568,Werder Bremen,away,26.069900752908968,2,7,0.2857142857142857
2425,2024/2025,711569,TSG Hoffenheim,home,25.51605227991265,0,15,0.0
2425,2024/2025,711569,VfL Wolfsburg,away,25.167576024249534,1,12,0.08333333333333333
2425,2024/2025,711570,1. FC Heidenheim 1846,home,27.525124501404328,2,16,0.125
2425,2024/2025,711570,1. FC Union Berlin,away,27.86028129208894,0,10,0.0
2425,2024/2025,711571,Mainz,home,27.409015351520484,2,10,0.2
2425,2024/2025,711571,VfL Bochum,away,27.461173301538935,0,11,0.0
2425,2024/2025,711572,Bayer Leverkusen,away,25.419178203175026,3,7,0.42857142857142855
2425,2024/2025,711572,Borussia Dortmund,home,25.172347707049965,2,12,0.16666666666666666
2425,2024/2025,711573,Bayern Munich,away,25.752305028787696,1,23,0.043478260869565216
2425,2024/2025,711573,Borussia Mönchengladbach,home,25.844650569992208,0,5,0.0
2425,2024/2025,711574,FC Augsburg,home,26.066674719168983,0,8,0.0
2425,2024/2025,711574,VfB Stuttgart,away,24.942505133470227,1,13,0.07692307692307693
2425,2024/2025,711575,Eintracht Frankfurt,away,25.047501711156745,1,14,0.07142857142857142
2425,2024/2025,711575,St. Pauli,home,26.03293473446874,0,18,0.0
2425,2024/2025,711576,1. FC Union Berlin,home,27.86028129208894,0,13,0.0
2425,2024/2025,711576,FC Augsburg,away,26.066674719168983,2,11,0.18181818181818182
2425,2024/2025,711577,St. Pauli,away,26.03293473446874,0,12,0.0
2425,2024/2025,711577,VfL Bochum,home,27.461173301538935,1,13,0.07692307692307693
2425,2024/2025,711578,RB Leipzig,away,24.251334702258728,1,6,0.16666666666666666
2425,2024/2025,711578,VfB Stuttgart,home,24.942505133470227,2,14,0.14285714285714285
2425,2024/2025,711579,1. FC Heidenheim 1846,away,27.525124501404328,3,14,0.21428571428571427
2425,2024/2025,711579,Werder Bremen,home,26.069900752908968,3,12,0.25
2425,2024/2025,711580,Borussia Mönchengladbach,away,25.844650569992208,1,9,0.1111111111111111
2425,2024/2025,711580,VfL Wolfsburg,home,25.167576024249534,5,16,0.3125
2425,2024/2025,711581,Bayern Munich,home,25.752305028787696,5,25,0.2
2425,2024/2025,711581,TSG Hoffenheim,away,25.51605227991265,0,5,0.0
2425,2024/2025,711582,Eintracht Frankfurt,home,25.047501711156745,4,23,0.17391304347826086
2425,2024/2025,711582,SC Freiburg,away,26.786376832117824,1,7,0.14285714285714285
2425,2024/2025,711583,Bayer Leverkusen,home,25.419178203175026,1,20,0.05
2425,2024/2025,711583,Mainz,away,27.409015351520484,0,7,0.0
2425,2024/2025,711584,Borussia Dortmund,away,25.172347707049965,2,16,0.125
2425,2024/2025,711584,Holstein Kiel,home,26.528991884228024,4,11,0.36363636363636365
2425,2024/2025,711585,SC Freiburg,away,26.786376832117824,0,4,0.0
2425,2024/2025,711585,VfB Stuttgart,home,24.942505133470227,4,12,0.3333333333333333
2425,2024/2025,711586,FC Augsburg,away,26.066674719168983,2,9,0.2222222222222222
2425,2024/2025,711586,Werder Bremen,home,26.069900752908968,0,20,0.0
2425,2024/2025,711587,Holstein Kiel,home,26.528991884228024,1,12,0.08333333333333333
2425,2024/2025,711587,TSG Hoffenheim,away,25.51605227991265,3,11,0.2727272727272727
2425,2024/2025,711588,Bayern Munich,home,25.752305028787696,3,25,0.12
2425,2024/2025,711588,VfL Wolfsburg,away,25.167576024249534,2,7,0.2857142857142857
2425,2024/2025,711589,Borussia Dortmund,away,25.172347707049965,0,12,0.0
2425,2024/2025,711589,Eintracht Frankfurt,home,25.047501711156745,2,13,0.15384615384615385
2425,2024/2025,711590,Bayer Leverkusen,home,25.419178203175026,3,10,0.3
2425,2024/2025,711590,Borussia Mönchengladbach,away,25.844650569992208,1,7,0.14285714285714285
2425,2024/2025,711591,1. FC Union Berlin,home,27.86028129208894,2,12,0.16666666666666666
2425,2024/2025,711591,Mainz,away,27.409015351520484,1,9,0.1111111111111111
2425,2024/2025,711592,1. FC Heidenheim 1846,home,27.525124501404328,0,8,0.0
2425,2024/2025,711592,St. Pauli,away,26.03293473446874,2,7,0.2857142857142857
2425,2024/2025,711593,RB Leipzig,away,24.251334702258728,3,11,0.2727272727272727
2425,2024/2025,711593,VfL Bochum,home,27.461173301538935,3,14,0.21428571428571427
2425,2024/2025,711594,1. FC Heidenheim 1846,away,27.525124501404328,1,11,0.09090909090909091
2425,2024/2025,711594,FC Augsburg,home,26.066674719168983,2,11,0.18181818181818182
2425,2024/2025,711595,Borussia Mönchengladbach,home,25.844650569992208,3,16,0.1875
2425,2024/2025,711595,VfL Bochum,away,27.461173301538935,0,10,0.0
2425,2024/2025,711596,Borussia Dortmund,home,25.172347707049965,2,8,0.25
