season,season_label,team,player,age_ref
2324,2023/2024,SC Freiburg,Mika Baur,19.811088295687885
2324,2023/2024,SC Freiburg,Nicolas Höfler,33.82340862422998
2324,2023/2024,SC Freiburg,Noah Atubolu,22.09993155373032
2324,2023/2024,SC Freiburg,Noah Weißhaupt,22.77618069815195
2324,2023/2024,SC Freiburg,Philipp Lienhart,27.644079397672822
2324,2023/2024,SC Freiburg,Ritsu Doan,26.03969883641341
2324,2023/2024,SC Freiburg,Roland Sallai,27.107460643394933
2324,2023/2024,SC Freiburg,Ryan Johansson,23.370294318959616
2324,2023/2024,SC Freiburg,Vincenzo Grifo,30.989733059548254
2324,2023/2024,SC Freiburg,Yannik Keitel,24.372347707049965
2324,2023/2024,SV Darmstadt 98,Aaron Seydel,27.99452429842573
2324,2023/2024,SV Darmstadt 98,Alexander Brunst-Zöllner,28.982888432580424
