season,season_label,game_id,team,avg_age,goals,shots,goals_per_shot
2425,2024/2025,711549,VfB Stuttgart,25.15625,3,18,0.16666666666666666
2425,2024/2025,711550,Bayern Munich,25.970588235294116,1,13,0.07692307692307693
2425,2024/2025,711550,Mainz,27.642857142857142,2,8,0.25
2425,2024/2025,711551,Borussia Dortmund,25.37142857142857,1,6,0.16666666666666666
2425,2024/2025,711551,TSG Hoffenheim,25.714285714285715,1,12,0.08333333333333333
2425,2024/2025,711552,Borussia Mönchengladbach,26.06896551724138,4,17,0.23529411764705882
2425,2024/2025,711552,Holstein Kiel,27.107142857142858,1,12,0.08333333333333333
2425,2024/2025,711553,Bayer Leverkusen,25.903225806451612,2,14,0.14285714285714285
2425,2024/2025,711553,FC Augsburg,26.235294117647058,0,8,0.0
2425,2024/2025,711554,St. Pauli,26.176470588235293,0,15,0.0
2425,2024/2025,711554,Werder Bremen,26.21875,2,8,0.25
2425,2024/2025,711555,Eintracht Frankfurt,25.266666666666666,1,16,0.0625
2425,2024/2025,711555,RB Leipzig,24.37142857142857,2,19,0.10526315789473684
2425,2024/2025,711556,1. FC Union Berlin,28.0,0,22,0.0
2425,2024/2025,711556,VfL Bochum,27.580645161290324,2,13,0.15384615384615385
2425,2024/2025,711557,SC Freiburg,26.96551724137931,3,18,0.16666666666666666
2425,2024/2025,711557,VfL Wolfsburg,25.4,2,20,0.1
2425,2024/2025,711558,Bayer Leverkusen,25.903225806451612,5,20,0.25
2425,2024/2025,711558,SC Freiburg,26.96551724137931,1,8,0.125
2425,2024/2025,711559,Borussia Dortmund,25.37142857142857,3,12,0.25
2425,2024/2025,711559,VfL Wolfsburg,25.4,1,14,0.07142857142857142
2425,2024/2025,711560,1. FC Heidenheim 1846,27.79310344827586,0,10,0.0
2425,2024/2025,711560,VfL Bochum,27.580645161290324,2,14,0.14285714285714285
2425,2024/2025,711561,St. Pauli,26.176470588235293,1,11,0.09090909090909091
2425,2024/2025,711561,VfB Stuttgart,25.15625,0,25,0.0
2425,2024/2025,711562,Borussia Mönchengladbach,26.06896551724138,2,5,0.4
2425,2024/2025,711562,TSG Hoffenheim,25.714285714285715,1,18,0.05555555555555555
2425,2024/2025,711563,1. FC Union Berlin,28.0,1,16,0.0625
2425,2024/2025,711563,Werder Bremen,26.21875,4,10,0.4
2425,2024/2025,711564,Eintracht Frankfurt,25.266666666666666,1,34,0.029411764705882353
2425,2024/2025,711564,Mainz,27.642857142857142,3,9,0.3333333333333333
2425,2024/2025,711565,Bayern Munich,25.970588235294116,5,22,0.22727272727272727
2425,2024/2025,711565,RB Leipzig,24.37142857142857,1,4,0.25
2425,2024/2025,711566,FC Augsburg,26.235294117647058,1,17,0.058823529411764705
2425,2024/2025,711566,Holstein Kiel,27.107142857142858,5,8,0.625
2425,2024/2025,711567,Holstein Kiel,27.107142857142858,2,14,0.14285714285714285
2425,2024/2025,711567,SC Freiburg,26.96551724137931,3,14,0.21428571428571427
2425,2024/2025,711568,RB Leipzig,24.37142857142857,4,18,0.2222222222222222
2425,2024/2025,711568,Werder Bremen,26.21875,2,7,0.2857142857142857
2425,2024/2025,711569,TSG Hoffenheim,25.714285714285715,0,15,0.0
2425,2024/2025,711569,VfL Wolfsburg,25.4,1,12,0.08333333333333333
2425,2024/2025,711570,1. FC Heidenheim 1846,27.79310344827586,2,16,0.125
2425,2024/2025,711570,1. FC Union Berlin,28.0,0,10,0.0
2425,2024/2025,711571,Mainz,27.642857142857142,2,10,0.2
2425,2024/2025,711571,VfL Bochum,27.580645161290324,0,11,0.0
2425,2024/2025,711572,Bayer Leverkusen,25.903225806451612,3,7,0.42857142857142855
2425,2024/2025,711572,Borussia Dortmund,25.37142857142857,2,12,0.16666666666666666
2425,2024/2025,711573,Bayern Munich,25.970588235294116,1,23,0.043478260869565216
2425,2024/2025,711573,Borussia Mönchengladbach,26.06896551724138,0,5,0.0
2425,2024/2025,711574,FC Augsburg,26.235294117647058,0,8,0.0
2425,2024/2025,711574,VfB Stuttgart,25.15625,1,13,0.07692307692307693
2425,2024/2025,711575,Eintracht Frankfurt,25.266666666666666,1,14,0.07142857142857142
2425,2024/2025,711575,St. Pauli,26.176470588235293,0,18,0.0
2425,2024/2025,711576,1. FC Union Berlin,28.0,0,13,0.0
2425,2024/2025,711576,FC Augsburg,26.235294117647058,2,11,0.18181818181818182
2425,2024/2025,711577,St. Pauli,26.176470588235293,0,12,0.0
2425,2024/2025,711577,VfL Bochum,27.580645161290324,1,13,0.07692307692307693
2425,2024/2025,711578,RB Leipzig,24.37142857142857,1,6,0.16666666666666666
2425,2024/2025,711578,VfB Stuttgart,25.15625,2,14,0.14285714285714285
2425,2024/2025,711579,1. FC Heidenheim 1846,27.79310344827586,3,14,0.21428571428571427
2425,2024/2025,711579,Werder Bremen,26.21875,3,12,0.25
2425,2024/2025,711580,Borussia Mönchengladbach,26.06896551724138,1,9,0.1111111111111111
2425,2024/2025,711580,VfL Wolfsburg,25.4,5,16,0.3125
2425,2024/2025,711581,Bayern Munich,25.970588235294116,5,25,0.2
2425,2024/2025,711581,TSG Hoffenheim,25.714285714285715,0,5,0.0
2425,2024/2025,711582,Eintracht Frankfurt,25.266666666666666,4,23,0.17391304347826086
2425,2024/2025,711582,SC Freiburg,26.96551724137931,1,7,0.14285714285714285
2425,2024/2025,711583,Bayer Leverkusen,25.903225806451612,1,20,0.05
2425,2024/2025,711583,Mainz,27.642857142857142,0,7,0.0
2425,2024/2025,711584,Borussia Dortmund,25.37142857142857,2,16,0.125
2425,2024/2025,711584,Holstein Kiel,27.107142857142858,4,11,0.36363636363636365
2425,2024/2025,711585,SC Freiburg,26.96551724137931,0,4,0.0
2425,2024/2025,711585,VfB Stuttgart,25.15625,4,12,0.3333333333333333
2425,2024/2025,711586,FC Augsburg,26.235294117647058,2,9,0.2222222222222222
2425,2024/2025,711586,Werder Bremen,26.21875,0,20,0.0
2425,2024/2025,711587,Holstein Kiel,27.107142857142858,1,12,0.08333333333333333
2425,2024/2025,711587,TSG Hoffenheim,25.714285714285715,3,11,0.2727272727272727
2425,2024/2025,711588,Bayern Munich,25.970588235294116,3,25,0.12
2425,2024/2025,711588,VfL Wolfsburg,25.4,2,7,0.2857142857142857
2425,2024/2025,711589,Borussia Dortmund,25.37142857142857,0,12,0.0
2425,2024/2025,711589,Eintracht Frankfurt,25.266666666666666,2,13,0.15384615384615385
2425,2024/2025,711590,Bayer Leverkusen,25.903225806451612,3,10,0.3
2425,2024/2025,711590,Borussia Mönchengladbach,26.06896551724138,1,7,0.14285714285714285
2425,2024/2025,711591,1. FC Union Berlin,28.0,2,12,0.16666666666666666
2425,2024/2025,711591,Mainz,27.642857142857142,1,9,0.1111111111111111
2425,2024/2025,711592,1. FC Heidenheim 1846,27.79310344827586,0,8,0.0
2425,2024/2025,711592,St. Pauli,26.176470588235293,2,7,0.2857142857142857
2425,2024/2025,711593,RB Leipzig,24.37142857142857,3,11,0.2727272727272727
2425,2024/2025,711593,VfL Bochum,27.580645161290324,3,14,0.21428571428571427
2425,2024/2025,711594,1. FC Heidenheim 1846,27.79310344827586,1,11,0.09090909090909091
2425,2024/2025,711594,FC Augsburg,26.235294117647058,2,11,0.18181818181818182
2425,2024/2025,711595,Borussia Mönchengladbach,26.06896551724138,3,16,0.1875
2425,2024/2025,711595,VfL Bochum,27.580645161290324,0,10,0.0
2425,2024/2025,711596,Borussia Dortmund,25.37142857142857,2,8,0.25
2425,2024/2025,711596,Werder Bremen,26.21875,2,13,0.15384615384615385
2425,2024/2025,711597,Mainz,27.642857142857142,2,11,0.18181818181818182
2425,2024/2025,711597,VfB Stuttgart,25.15625,0,10,0.0
2425,2024/2025,711598,Holstein Kiel,27.107142857142858,2,5,0.4
2425,2024/2025,711598,VfL Wolfsburg,25.4,2,22,0.09090909090909091
2425,2024/2025,711599,Bayer Leverkusen,25.903225806451612,2,13,0.15384615384615385
2425,2024/2025,711599,RB Leipzig,24.37142857142857,2,7,0.2857142857142857
2425,2024/2025,711600,Bayern Munich,25.970588235294116,2,7,0.2857142857142857
2425,2024/2025,711600,SC Freiburg,26.96551724137931,1,7,0.14285714285714285
2425,2024/2025,711601,Eintracht Frankfurt,25.266666666666666,2,12,0.16666666666666666
2425,2024/2025,711601,TSG Hoffenheim,25.714285714285715,2,24,0.08333333333333333
2425,2024/2025,711602,1. FC Union Berlin,28.0,0,14,0.0
2425,2024/2025,711602,St. Pauli,26.176470588235293,3,16,0.1875
2425,2024/2025,711603,Eintracht Frankfurt,25.266666666666666,1,16,0.0625
2425,2024/2025,711603,VfL Wolfsburg,25.4,1,11,0.09090909090909091
2425,2024/2025,711604,Bayer Leverkusen,25.903225806451612,3,9,0.3333333333333333
2425,2024/2025,711604,TSG Hoffenheim,25.714285714285715,1,16,0.0625
2425,2024/2025,711605,1. FC Union Berlin,28.0,0,21,0.0
2425,2024/2025,711605,RB Leipzig,24.37142857142857,0,6,0.0
2425,2024/2025,711606,1. FC Heidenheim 1846,27.79310344827586,1,11,0.09090909090909091
2425,2024/2025,711606,Borussia Dortmund,25.37142857142857,2,16,0.125
2425,2024/2025,711607,Bayern Munich,25.970588235294116,4,29,0.13793103448275862
2425,2024/2025,711607,Holstein Kiel,27.107142857142858,3,10,0.3
2425,2024/2025,711608,SC Freiburg,26.96551724137931,1,13,0.07692307692307693
2425,2024/2025,711608,VfL Bochum,27.580645161290324,0,22,0.0
2425,2024/2025,711609,Borussia Mönchengladbach,26.06896551724138,2,13,0.15384615384615385
2425,2024/2025,711609,VfB Stuttgart,25.15625,1,10,0.1
2425,2024/2025,711610,Mainz,27.642857142857142,0,13,0.0
2425,2024/2025,711610,Werder Bremen,26.21875,1,12,0.08333333333333333
2425,2024/2025,711611,FC Augsburg,26.235294117647058,1,2,0.5
2425,2024/2025,711611,St. Pauli,26.176470588235293,1,6,0.16666666666666666
2425,2024/2025,711612,FC Augsburg,26.235294117647058,0,9,0.0
2425,2024/2025,711612,Mainz,27.642857142857142,0,9,0.0
2425,2024/2025,711613,Borussia Dortmund,25.37142857142857,1,16,0.0625
2425,2024/2025,711613,VfB Stuttgart,25.15625,2,4,0.5
2425,2024/2025,711614,Borussia Mönchengladbach,26.06896551724138,1,8,0.125
2425,2024/2025,711614,Eintracht Frankfurt,25.266666666666666,1,15,0.06666666666666667
2425,2024/2025,711615,Bayern Munich,25.970588235294116,3,21,0.14285714285714285
2425,2024/2025,711615,Werder Bremen,26.21875,0,2,0.0
2425,2024/2025,711616,Bayer Leverkusen,25.903225806451612,0,15,0.0
2425,2024/2025,711616,VfL Wolfsburg,25.4,0,13,0.0
2425,2024/2025,711617,1. FC Heidenheim 1846,27.79310344827586,0,11,0.0
2425,2024/2025,711617,SC Freiburg,26.96551724137931,1,9,0.1111111111111111
2425,2024/2025,711618,RB Leipzig,24.37142857142857,2,11,0.18181818181818182
2425,2024/2025,711618,St. Pauli,26.176470588235293,0,7,0.0
2425,2024/2025,711619,Holstein Kiel,27.107142857142858,2,10,0.2
2425,2024/2025,711619,VfL Bochum,27.580645161290324,2,20,0.1
2425,2024/2025,711620,1. FC Union Berlin,28.0,4,22,0.18181818181818182
2425,2024/2025,711620,TSG Hoffenheim,25.714285714285715,0,16,0.0
2425,2024/2025,711621,Borussia Dortmund,25.37142857142857,0,17,0.0
2425,2024/2025,711621,VfL Bochum,27.580645161290324,2,18,0.1111111111111111
2425,2024/2025,711622,1. FC Heidenheim 1846,27.79310344827586,0,12,0.0
2425,2024/2025,711622,Mainz,27.642857142857142,2,6,0.3333333333333333
2425,2024/2025,711623,1. FC Union Berlin,28.0,1,18,0.05555555555555555
2425,2024/2025,711623,Borussia Mönchengladbach,26.06896551724138,2,9,0.2222222222222222
2425,2024/2025,711624,Bayer Leverkusen,25.903225806451612,0,15,0.0
2425,2024/2025,711624,Bayern Munich,25.970588235294116,0,2,0.0
2425,2024/2025,711625,Eintracht Frankfurt,25.266666666666666,3,20,0.15
2425,2024/2025,711625,Holstein Kiel,27.107142857142858,1,10,0.1
2425,2024/2025,711626,FC Augsburg,26.235294117647058,0,11,0.0
2425,2024/2025,711626,RB Leipzig,24.37142857142857,0,14,0.0
2425,2024/2025,711627,SC Freiburg,26.96551724137931,1,5,0.2
2425,2024/2025,711627,St. Pauli,26.176470588235293,0,5,0.0
2425,2024/2025,711628,TSG Hoffenheim,25.714285714285715,3,15,0.2
2425,2024/2025,711628,Werder Bremen,26.21875,1,14,0.07142857142857142
2425,2024/2025,711629,VfB Stuttgart,25.15625,1,10,0.1
2425,2024/2025,711629,VfL Wolfsburg,25.4,2,7,0.2857142857142857
2425,2024/2025,711630,Mainz,27.642857142857142,2,10,0.2
2425,2024/2025,711630,St. Pauli,26.176470588235293,0,12,0.0
2425,2024/2025,711631,1. FC Union Berlin,28.0,0,6,0.0
2425,2024/2025,711631,Borussia Dortmund,25.37142857142857,6,24,0.25
2425,2024/2025,711632,Borussia Mönchengladbach,26.06896551724138,0,8,0.0
2425,2024/2025,711632,FC Augsburg,26.235294117647058,3,17,0.17647058823529413
2425,2024/2025,711633,Bayern Munich,25.970588235294116,4,19,0.21052631578947367
2425,2024/2025,711633,Eintracht Frankfurt,25.266666666666666,0,7,0.0
2425,2024/2025,711634,VfL Bochum,27.580645161290324,1,11,0.09090909090909091
2425,2024/2025,711634,VfL Wolfsburg,25.4,1,13,0.07692307692307693
2425,2024/2025,711635,1. FC Heidenheim 1846,27.79310344827586,2,4,0.5
2425,2024/2025,711635,RB Leipzig,24.37142857142857,2,17,0.11764705882352941
2425,2024/2025,711636,SC Freiburg,26.96551724137931,5,13,0.38461538461538464
2425,2024/2025,711636,Werder Bremen,26.21875,0,9,0.0
2425,2024/2025,711637,TSG Hoffenheim,25.714285714285715,1,9,0.1111111111111111
2425,2024/2025,711637,VfB Stuttgart,25.15625,1,14,0.07142857142857142
2425,2024/2025,711638,Bayer Leverkusen,25.903225806451612,2,18,0.1111111111111111
2425,2024/2025,711638,Holstein Kiel,27.107142857142858,0,4,0.0
2425,2024/2025,711639,Bayern Munich,25.970588235294116,3,17,0.17647058823529413
2425,2024/2025,711639,VfB Stuttgart,25.15625,1,12,0.08333333333333333
2425,2024/2025,711640,VfL Wolfsburg,25.4,2,9,0.2222222222222222
2425,2024/2025,711640,Werder Bremen,26.21875,1,15,0.06666666666666667
2425,2024/2025,711641,Mainz,27.642857142857142,2,15,0.13333333333333333
2425,2024/2025,711641,RB Leipzig,24.37142857142857,1,13,0.07692307692307693
2425,2024/2025,711642,Borussia Dortmund,25.37142857142857,2,14,0.14285714285714285
2425,2024/2025,711642,St. Pauli,26.176470588235293,0,7,0.0
2425,2024/2025,711643,TSG Hoffenheim,25.714285714285715,1,10,0.1
2425,2024/2025,711643,VfL Bochum,27.580645161290324,0,12,0.0
2425,2024/2025,711644,Bayer Leverkusen,25.903225806451612,4,20,0.2
2425,2024/2025,711644,Eintracht Frankfurt,25.266666666666666,1,7,0.14285714285714285
2425,2024/2025,711645,1. FC Union Berlin,28.0,0,14,0.0
2425,2024/2025,711645,Holstein Kiel,27.107142857142858,1,10,0.1
2425,2024/2025,711646,1. FC Heidenheim 1846,27.79310344827586,0,20,0.0
2425,2024/2025,711646,Borussia Mönchengladbach,26.06896551724138,3,13,0.23076923076923078
2425,2024/2025,711647,FC Augsburg,26.235294117647058,0,13,0.0
2425,2024/2025,711647,SC Freiburg,26.96551724137931,0,7,0.0
2425,2024/2025,711648,1. FC Heidenheim 1846,27.79310344827586,1,23,0.043478260869565216
2425,2024/2025,711648,TSG Hoffenheim,25.714285714285715,1,16,0.0625
2425,2024/2025,711649,RB Leipzig,24.37142857142857,0,18,0.0
2425,2024/2025,711649,SC Freiburg,26.96551724137931,0,10,0.0
